X Density
0.005 2.999089315
0.015 2.998422627
0.025 2.997403238
0.035 2.995836249
0.045 2.99347597
0.055 2.989993734
0.065 2.98495853
0.075 2.97781923
0.085 2.967889641
0.095 2.954339074
0.105 2.936191691
0.115 2.912338047
0.125 2.881561954
0.135 2.842584939
0.145 2.794129093
0.155 2.734997026
0.165 2.664165159
0.175 2.580883954
0.185 2.484776351
0.195 2.375924053
0.205 2.254930818
0.215 2.122952896
0.225 1.981689255
0.235 1.833328113
0.245 1.680451118
0.255 1.525901574
0.265 1.372627748
0.275 1.223515583
0.285 1.081226741
0.295 0.9480573239
0.305 0.8258300742
0.315 0.7158286875
0.325 0.6187777964
0.335 0.5348669399
0.345 0.4638122471
0.355 0.4049461911
0.365 0.3573239602
0.375 0.3198347943
0.385 0.2913078149
0.395 0.270604044
0.405 0.2566889752
0.415 0.2486827739
0.425 0.2458875937
0.435 0.2477933944
0.445 0.2540649791
0.455 0.2645137913
0.465 0.2790584591
0.475 0.2976782713
0.485 0.3203638322
0.495 0.3470691015
0.505 0.377668856
0.515 0.4119252605
0.525 0.4494666019
0.535 0.4897803011
0.545 0.5322210589
0.555 0.5760335241
0.565 0.6203873425
0.575 0.6644210699
0.585 0.7072904265
0.595 0.7482159007
0.605 0.7865248803
0.615 0.8216842685
0.625 0.8533208248
0.635 0.88122804
0.645 0.9053599696
0.655 0.9258138631
0.665 0.9428044554
0.675 0.9566333087
0.685 0.9676566132
0.695 0.9762544184
0.705 0.9828035358
0.715 0.9876554604
0.725 0.9911197811
0.735 0.9934528071
0.745 0.9948506146
0.755 0.9954454481
0.765 0.995304394
0.775 0.9944294267
0.785 0.992758267
0.795 0.9901659055
0.805 0.9864670678
0.815 0.9814202655
0.825 0.9747343184
0.835 0.9660783033
0.845 0.9550957328
0.855 0.9414233702
0.865 0.9247144209
0.875 0.9046648984
0.885 0.8810406723
0.895 0.8537008217
0.905 0.8226098441
0.915 0.7878250053
0.925 0.7494332789
0.935 0.7073772594
0.945 0.6610767218
0.955 0.6084311912
0.965 0.5444028974
0.975 0.4536297334
0.985 0.3169727881
0.995 0.003741363323
1.005 -1.996258637
