X Density
0.005 2.99946685
0.015 2.999074623
0.025 2.998472159
0.035 2.997540633
0.045 2.99612771
0.055 2.994026205
0.065 2.990959264
0.075 2.98656519
0.085 2.980382416
0.095 2.971836153
0.105 2.960228734
0.115 2.944736099
0.125 2.924413071
0.135 2.898209979
0.145 2.865002751
0.155 2.82363768
0.165 2.772990729
0.175 2.712039507
0.185 2.639944103
0.195 2.55613106
0.205 2.460373169
0.215 2.352856814
0.225 2.234228569
0.235 2.10561376
0.245 1.968601888
0.255 1.825196836
0.265 1.677733486
0.275 1.528766158
0.285 1.38093762
0.295 1.236839908
0.305 1.098879273
0.315 0.9691572064
0.325 0.849377671
0.335 0.7407875908
0.345 0.6441539417
0.355 0.5597768067
0.365 0.4875341857
0.375 0.4269515568
0.385 0.3772874817
0.395 0.3376260136
0.405 0.3069672024
0.415 0.2843083715
0.425 0.2687107379
0.435 0.2593480521
0.445 0.2555359537
0.455 0.2567424937
0.465 0.2625816518
0.475 0.2727926692
0.485 0.2872086553
0.495 0.3057182875
0.505 0.3282245479
0.515 0.3546043852
0.525 0.3846729409
0.535 0.4181555342
0.545 0.4546699317
0.555 0.4937205375
0.565 0.5347050643
0.575 0.5769330541
0.585 0.6196544415
0.595 0.6620953219
0.605 0.7034973503
0.615 0.7431568643
0.625 0.7804599478
0.635 0.8149102231
0.645 0.8461470923
0.655 0.8739533058
0.665 0.8982519446
0.675 0.9190940011
0.685 0.9366385794
0.695 0.951128233
0.705 0.9628620802
0.715 0.9721691257
0.725 0.9793837435
0.735 0.9848246593
0.745 0.9887781119
0.755 0.9914852854
0.765 0.9931336508
0.775 0.9938515862
0.785 0.9937055596
0.795 0.9926992451
0.805 0.9907741532
0.815 0.9878116395
0.825 0.9836364521
0.835 0.978022224
0.845 0.9706994564
0.855 0.9613665175
0.865 0.9497039463
0.875 0.9353918363
0.885 0.9181291618
0.895 0.8976523207
0.905 0.8737473167
0.915 0.8462441465
0.925 0.8149710554
0.935 0.7796154851
0.945 0.7394101447
0.955 0.6922914421
0.965 0.6337050889
0.975 0.5504079837
0.985 0.4261243415
0.995 0.1517092443
1.005 -1.848290756
