X Density
0.005 2.999999894
0.015 2.999999812
0.025 2.999999683
0.035 2.999999475
0.045 2.999999141
0.055 2.999998615
0.065 2.999997792
0.075 2.999996521
0.085 2.999994577
0.095 2.999991629
0.105 2.999987204
0.115 2.999980619
0.125 2.999970906
0.135 2.999956703
0.145 2.99993611
0.155 2.999906499
0.165 2.999864272
0.175 2.999804543
0.185 2.999720738
0.195 2.999604095
0.205 2.999443034
0.215 2.9992224
0.225 2.998922536
0.235 2.998518186
0.245 2.997977209
0.255 2.997259084
0.265 2.996313231
0.275 2.995077128
0.285 2.99347427
0.295 2.991411996
0.305 2.988779254
0.315 2.985444378
0.325 2.981252977
0.335 2.97602608
0.345 2.969558666
0.355 2.961618755
0.365 2.951947243
0.375 2.940258652
0.385 2.926242987
0.395 2.909568842
0.405 2.889887907
0.415 2.866840922
0.425 2.840065136
0.435 2.80920318
0.445 2.773913248
0.455 2.733880335
0.465 2.688828221
0.475 2.638531805
0.485 2.582829293
0.495 2.521633724
0.505 2.454943261
0.515 2.382849688
0.525 2.305544585
0.535 2.223322718
0.545 2.136582295
0.555 2.045821846
0.565 1.951633672
0.575 1.854693957
0.585 1.7557498
0.595 1.655603616
0.605 1.555095473
0.615 1.455084059
0.625 1.356427049
0.635 1.25996166
0.645 1.166486184
0.655 1.076743218
0.665 0.9914051978
0.675 0.9110627128
0.685 0.8362159265
0.695 0.7672692253
0.705 0.7045290693
0.715 0.6482048459
0.725 0.5984123873
0.735 0.5551797094
0.745 0.5184544563
0.755 0.4881125071
0.765 0.4639672045
0.775 0.4457787156
0.785 0.4332630999
0.795 0.4261007572
0.805 0.4239440301
0.815 0.4264238423
0.825 0.4331553554
0.835 0.4437427083
0.845 0.4577829729
0.855 0.4748694949
0.865 0.4945948002
0.875 0.5165532201
0.885 0.5403432999
0.895 0.5655698628
0.905 0.5918451499
0.915 0.6187873004
0.925 0.6460119653
0.935 0.6731039553
0.945 0.6995471632
0.955 0.7244895091
0.965 0.7463960541
0.975 0.7606741643
0.985 0.7617070737
0.995 0.7029874144
1.005 -1.297012586
