X Density
0.005 2.999935449
0.015 2.999887254
0.025 2.999812212
0.035 2.999694152
0.045 2.999511353
0.055 2.999232903
0.065 2.998815353
0.075 2.998198611
0.085 2.997300936
0.095 2.996012974
0.105 2.994190884
0.115 2.991648701
0.125 2.988150192
0.135 2.983400672
0.145 2.977039368
0.155 2.968633153
0.165 2.957672609
0.175 2.94357149
0.185 2.925670732
0.195 2.903248052
0.205 2.87553402
0.215 2.841735113
0.225 2.801063782
0.235 2.752774944
0.245 2.696207587
0.255 2.63082945
0.265 2.556282075
0.275 2.472422995
0.285 2.379361544
0.295 2.277484807
0.305 2.16747062
0.315 2.050285287
0.325 1.927164745
0.335 1.799579235
0.345 1.669182935
0.355 1.53775138
0.365 1.407110677
0.375 1.279063317
0.385 1.155315778
0.395 1.03741297
0.405 0.9266839899
0.415 0.8242025709
0.425 0.7307643214
0.435 0.6468813354
0.445 0.5727932965
0.455 0.5084928954
0.465 0.4537623657
0.475 0.4082173078
0.485 0.3713537293
0.495 0.3425943844
0.505 0.3213309745
0.515 0.3069595034
0.525 0.2989069629
0.535 0.2966484636
0.545 0.2997148283
0.555 0.3076914704
0.565 0.3202100259
0.575 0.3369346715
0.585 0.3575453233
0.595 0.3817199762
0.605 0.4091183191
0.615 0.4393684759
0.625 0.4720582992
0.635 0.5067321254
0.645 0.5428933292
0.655 0.5800124395
0.665 0.6175400511
0.675 0.6549233247
0.685 0.6916245634
0.695 0.7271402013
0.705 0.7610185547
0.715 0.7928748609
0.725 0.8224024368
0.735 0.8493791896
0.745 0.8736691591
0.755 0.895219211
0.765 0.9140513898
0.775 0.9302517427
0.785 0.9439566146
0.795 0.9553374907
0.805 0.9645854305
0.815 0.9718960204
0.825 0.9774555926
0.835 0.9814292591
0.845 0.9839511034
0.855 0.9851166811
0.865 0.9849778126
0.875 0.9835394533
0.885 0.9807581584
0.895 0.9765411236
0.905 0.9707436955
0.915 0.9631608153
0.925 0.9535032724
0.935 0.9413371685
0.945 0.925954445
0.955 0.9060396943
0.965 0.8792183229
0.975 0.8397439216
0.985 0.7809486844
0.995 0.6620292003
1.005 -1.3379708
