X Density
0.005 2.999993738
0.015 2.99998901
0.025 2.999981576
0.035 2.99996973
0.045 2.999951112
0.055 2.99992226
0.065 2.999878142
0.075 2.999811541
0.085 2.999712238
0.095 2.999565941
0.105 2.99935292
0.115 2.999046285
0.125 2.998609848
0.135 2.997995545
0.145 2.997140357
0.155 2.995962754
0.165 2.994358662
0.175 2.992197048
0.185 2.989315233
0.195 2.98551415
0.205 2.980553793
0.215 2.974149234
0.225 2.965967598
0.235 2.955626504
0.245 2.942694458
0.255 2.926693752
0.265 2.907106318
0.275 2.88338295
0.285 2.854956129
0.295 2.821256492
0.305 2.781732747
0.315 2.735874527
0.325 2.68323739
0.335 2.623468871
0.345 2.556334233
0.355 2.481740372
0.365 2.399756264
0.375 2.310628323
0.385 2.214789273
0.395 2.112859363
0.405 2.005639229
0.415 1.894094195
0.425 1.779330398
0.435 1.662563679
0.445 1.545082748
0.455 1.42820855
0.465 1.313252086
0.475 1.201473042
0.485 1.094041564
0.495 0.9920052542
0.505 0.8962630664
0.515 0.8075472651
0.525 0.7264139988
0.535 0.6532424222
0.545 0.5882417105
0.555 0.5314648055
0.565 0.4828273483
0.575 0.4421300268
0.585 0.4090824873
0.595 0.3833270445
0.605 0.3644606402
0.615 0.3520538184
0.625 0.3456658823
0.635 0.3448558127
0.645 0.3491889443
0.655 0.3582397634
0.665 0.3715914945
0.675 0.388833351
0.685 0.4095564415
0.695 0.4333493373
0.705 0.459794225
0.715 0.4884644154
0.725 0.5189237626
0.735 0.5507282956
0.745 0.5834301074
0.755 0.6165832927
0.765 0.649751515
0.775 0.6825166201
0.785 0.7144876104
0.795 0.7453092665
0.805 0.7746697303
0.815 0.8023064636
0.825 0.8280101283
0.835 0.8516261065
0.845 0.8730535585
0.855 0.8922420849
0.865 0.9091862054
0.875 0.9239179601
0.885 0.9364979541
0.895 0.9470050693
0.905 0.9555247665
0.915 0.962135237
0.925 0.966889443
0.935 0.9697879367
0.945 0.9707350263
0.955 0.9694452969
0.965 0.9653274463
0.975 0.9569003085
0.985 0.9424907707
0.995 0.9116225158
1.005 -1.088377484
