X Density
0.005 2.999999373
0.015 2.999998896
0.025 2.999998141
0.035 2.999996928
0.045 2.999995001
0.055 2.999991978
0.065 2.999987295
0.075 2.99998012
0.085 2.999969245
0.095 2.999952933
0.105 2.999928717
0.115 2.999893117
0.125 2.99984129
0.135 2.999766554
0.145 2.99965979
0.155 2.999508683
0.165 2.999296768
0.175 2.999002268
0.185 2.998596684
0.195 2.998043112
0.205 2.99729428
0.215 2.996290305
0.225 2.994956162
0.235 2.993198922
0.245 2.990904812
0.255 2.987936181
0.265 2.98412852
0.275 2.979287678
0.285 2.97318749
0.295 2.965568055
0.305 2.956134915
0.315 2.944559417
0.325 2.930480542
0.335 2.913508445
0.345 2.893229932
0.355 2.86921601
0.365 2.841031574
0.375 2.808247171
0.385 2.770452631
0.395 2.727272251
0.405 2.678381019
0.415 2.623521275
0.425 2.562519045
0.435 2.495299245
0.445 2.421898865
0.455 2.342477306
0.465 2.257323078
0.475 2.166856226
0.485 2.071626032
0.495 1.972303775
0.505 1.869670605
0.515 1.764600863
0.525 1.658041455
0.535 1.550988132
0.545 1.444459733
0.555 1.33947157
0.565 1.23700918
0.575 1.138003684
0.585 1.043309824
0.595 0.9536876176
0.605 0.8697883051
0.615 0.7921450019
0.625 0.7211681556
0.635 0.6571456364
0.645 0.6002470201
0.655 0.5505314104
0.665 0.507957995
0.675 0.4723984462
0.685 0.4436502615
0.695 0.4214501957
0.705 0.4054870444
0.715 0.3954131956
0.725 0.3908545475
0.735 0.3914185846
0.745 0.3967005891
0.755 0.4062881322
0.765 0.4197641208
0.775 0.4367087654
0.785 0.4567008825
0.795 0.4793189436
0.805 0.5041422435
0.815 0.5307524876
0.825 0.5587359984
0.835 0.5876866316
0.845 0.6172093772
0.855 0.6469245165
0.865 0.6764721116
0.875 0.7055165322
0.885 0.7337506622
0.895 0.7608993599
0.905 0.7867216258
0.915 0.8110105934
0.925 0.8335897333
0.935 0.8543008404
0.945 0.8729769138
0.955 0.8893590189
0.965 0.9029797606
0.975 0.9123504977
0.985 0.9157241153
0.995 0.8970420012
1.005 -1.102957999
