X Density
0.005 1.842077747
0.015 1.330661615
0.025 0.8734468089
0.035 0.5406104712
0.045 0.3443855035
0.055 0.2505770958
0.065 0.2143051541
0.075 0.2031075369
0.085 0.2004469481
0.095 0.2000110846
0.105 0.1999849041
0.115 0.1999952515
0.125 0.199999278
0.135 0.19999998
0.145 0.2000000181
0.155 0.2000000051
0.165 0.2000000032
0.175 0.2000000141
0.185 0.2000000692
0.195 0.2000003247
0.205 0.2000014701
0.215 0.2000063275
0.225 0.2000261367
0.235 0.2001015996
0.245 0.2003761315
0.255 0.2012922875
0.265 0.2041793436
0.275 0.212299281
0.285 0.2334065145
0.295 0.2802868042
0.305 0.3717249083
0.315 0.5135967523
0.325 0.6787797029
0.335 0.8233216807
0.345 0.9202239011
0.355 0.9708352472
0.365 0.9915747305
0.375 0.9981855664
0.385 0.9997607959
0.395 1.000004889
0.405 1.000011927
0.415 1.000003214
0.425 1.000000407
0.435 0.9999999886
0.445 0.9999999841
0.455 0.9999999969
0.465 0.9999999998
0.475 1
0.485 1
0.495 1
0.505 1
0.515 1
0.525 1
0.535 1
0.545 0.9999999999
0.555 0.9999999995
0.565 0.9999999972
0.575 0.9999999859
0.585 0.9999999308
0.595 0.9999996753
0.605 0.9999985299
0.615 0.9999936725
0.625 0.9999738633
0.635 0.9998984004
0.645 0.9996238685
0.655 0.9987077125
0.665 0.9958206564
0.675 0.987700719
0.685 0.9665934855
0.695 0.9197131958
0.705 0.8282750917
0.715 0.6864032477
0.725 0.5212202971
0.735 0.3766783193
0.745 0.2797760989
0.755 0.2291647528
0.765 0.2084252695
0.775 0.2018144336
0.785 0.2002392041
0.795 0.1999951106
0.805 0.1999880733
0.815 0.1999967856
0.825 0.199999593
0.835 0.2000000113
0.845 0.2000000158
0.855 0.2000000026
0.865 0.1999999976
0.875 0.1999999864
0.885 0.1999999303
0.895 0.1999996502
0.905 0.199998331
0.915 0.1999921818
0.925 0.199965687
0.935 0.1998507783
0.945 0.1994077257
0.955 0.1976112419
0.965 0.1916832459
0.975 0.1683303237
0.985 0.1101575288
0.995 -0.1552486309
1.005 -2.155248631
