X Density
0.005 2.999999993
0.015 2.999999988
0.025 2.99999998
0.035 2.999999967
0.045 2.999999945
0.055 2.999999911
0.065 2.999999857
0.075 2.999999773
0.085 2.999999642
0.095 2.999999442
0.105 2.999999138
0.115 2.999998679
0.125 2.99999799
0.135 2.999996967
0.145 2.999995457
0.155 2.999993244
0.165 2.999990026
0.175 2.999985379
0.185 2.999978713
0.195 2.999969218
0.205 2.999955788
0.215 2.999936918
0.225 2.999910586
0.235 2.999874085
0.245 2.999823828
0.255 2.99975509
0.265 2.999661698
0.275 2.999535647
0.285 2.99936664
0.295 2.999141528
0.305 2.99884366
0.315 2.99845211
0.325 2.997940791
0.335 2.997277451
0.345 2.996422541
0.355 2.995327968
0.365 2.993935746
0.375 2.99217657
0.385 2.989968336
0.395 2.987214654
0.405 2.983803416
0.415 2.979605469
0.425 2.97447349
0.435 2.968241139
0.445 2.96072259
0.455 2.951712542
0.465 2.940986822
0.475 2.92830366
0.485 2.913405746
0.495 2.896023124
0.505 2.875876989
0.515 2.852684381
0.525 2.826163784
0.535 2.796041549
0.545 2.762059041
0.555 2.723980358
0.565 2.681600421
0.575 2.63475319
0.585 2.583319726
0.595 2.527235804
0.605 2.466498754
0.615 2.401173213
0.625 2.331395492
0.635 2.257376295
0.645 2.17940157
0.655 2.097831345
0.665 2.013096477
0.675 1.925693307
0.685 1.836176338
0.695 1.745149111
0.705 1.653253533
0.715 1.561158002
0.725 1.46954472
0.735 1.379096603
0.745 1.290484236
0.755 1.20435331
0.765 1.121312935
0.775 1.041925186
0.785 0.9666961789
0.795 0.8960688936
0.805 0.8304178641
0.815 0.7700457932
0.825 0.7151820473
0.835 0.6659829172
0.845 0.6225334607
0.855 0.584850681
0.865 0.5528877282
0.875 0.5265387097
0.885 0.5056434836
0.895 0.4899912771
0.905 0.4793206924
0.915 0.4733102193
0.925 0.4715460569
0.935 0.473429336
0.945 0.4779603711
0.955 0.4830799278
0.965 0.484699815
0.975 0.470755138
0.985 0.4261980491
0.995 0.2387131646
1.005 -1.761286835
