X Density
0.005 2.795437739
0.015 2.666642042
0.025 2.496541006
0.035 2.281417391
0.045 2.02648669
0.055 1.743940587
0.065 1.451300791
0.075 1.168257346
0.085 0.912748792
0.095 0.6975629974
0.105 0.5285340231
0.115 0.4047182676
0.125 0.320150123
0.135 0.2662988065
0.145 0.2343356772
0.155 0.2166591482
0.165 0.2075568301
0.175 0.2031973712
0.185 0.2012594363
0.195 0.200464339
0.205 0.2001712032
0.215 0.2000922575
0.225 0.200123597
0.235 0.200263386
0.245 0.2005905392
0.255 0.2012875249
0.265 0.2027009806
0.275 0.2054373411
0.285 0.2104836247
0.295 0.219323604
0.305 0.2339893519
0.315 0.2569603817
0.325 0.2908229158
0.335 0.3376602436
0.345 0.3982713757
0.355 0.4714681148
0.365 0.5537842487
0.375 0.6398474425
0.385 0.723405522
0.395 0.7986877249
0.405 0.8616070152
0.415 0.9103861589
0.425 0.945468117
0.435 0.9688777757
0.445 0.9833723601
0.455 0.9916992501
0.465 0.9961360821
0.475 0.9983270969
0.485 0.9993285198
0.495 0.9997512386
0.505 0.9999154835
0.515 0.9999739213
0.525 0.999992805
0.535 0.9999982669
0.545 0.9999996269
0.555 0.9999998417
0.565 0.9999996647
0.575 0.9999990498
0.585 0.99999738
0.595 0.9999929989
0.605 0.999981852
0.615 0.9999544108
0.625 0.9998891712
0.635 0.999739663
0.645 0.9994100589
0.655 0.9987125546
0.665 0.997299018
0.675 0.9945626537
0.685 0.9895163732
0.695 0.9806763955
0.705 0.966010648
0.715 0.9430396183
0.725 0.9091770842
0.735 0.8623397564
0.745 0.8017286243
0.755 0.7285318852
0.765 0.6462157513
0.775 0.5601525575
0.785 0.476594478
0.795 0.4013122748
0.805 0.3383929839
0.815 0.2896138381
0.825 0.2545318729
0.835 0.2311221909
0.845 0.2166275313
0.855 0.2083004032
0.865 0.2038628335
0.875 0.2016695783
0.885 0.2006614917
0.895 0.2002193537
0.905 0.1999997227
0.915 0.1997863716
0.925 0.1993440463
0.935 0.1981985783
0.945 0.1952171052
0.955 0.1874082352
0.965 0.1681689176
0.975 0.1168842725
0.985 0.007749432849
0.995 -0.3516190972
1.005 -2.351619097
