X Density
0.005 2.999999995
0.015 2.999999991
0.025 2.999999984
0.035 2.999999974
0.045 2.999999957
0.055 2.999999931
0.065 2.999999888
0.075 2.999999823
0.085 2.999999721
0.095 2.999999564
0.105 2.999999325
0.115 2.999998965
0.125 2.999998424
0.135 2.999997619
0.145 2.999996429
0.155 2.999994684
0.165 2.999992142
0.175 2.999988464
0.185 2.99998318
0.195 2.999975642
0.205 2.999964958
0.215 2.99994992
0.225 2.999928891
0.235 2.999899681
0.245 2.999859374
0.255 2.999804121
0.265 2.999728873
0.275 2.999627063
0.285 2.999490212
0.295 2.999307455
0.305 2.999064973
0.315 2.998745335
0.325 2.998326718
0.335 2.997782018
0.345 2.997077849
0.355 2.996173413
0.365 2.995019274
0.375 2.993556031
0.385 2.991712921
0.395 2.989406386
0.405 2.986538642
0.415 2.982996311
0.425 2.97864918
0.435 2.973349154
0.445 2.966929513
0.455 2.959204539
0.465 2.94996963
0.475 2.939001994
0.485 2.926062016
0.495 2.910895374
0.505 2.893235983
0.515 2.872809796
0.525 2.849339482
0.535 2.822549952
0.545 2.792174674
0.555 2.757962663
0.565 2.719686
0.575 2.677147676
0.585 2.630189532
0.595 2.578700031
0.605 2.522621552
0.615 2.461956928
0.625 2.396774907
0.635 2.327214271
0.645 2.253486347
0.655 2.175875718
0.665 2.094739
0.675 2.010501597
0.685 1.923652471
0.695 1.834737
0.705 1.744348117
0.715 1.653115969
0.725 1.561696431
0.735 1.470758825
0.745 1.380973261
0.755 1.292998017
0.765 1.20746736
0.775 1.124980205
0.785 1.046089942
0.795 0.9712957205
0.805 0.9010353883
0.815 0.8356802277
0.825 0.7755315257
0.835 0.720818951
0.845 0.6717006246
0.855 0.6282647005
0.865 0.5905321849
0.875 0.5584606011
0.885 0.5319478549
0.895 0.5108350787
0.905 0.4949058373
0.915 0.4838754279
0.925 0.4773562447
0.935 0.4747592398
0.945 0.4750658369
0.955 0.4761363421
0.965 0.4736930817
0.975 0.4551329884
0.985 0.4047263678
0.995 0.2059836484
1.005 -1.794016352
