X Density
0.005 2.890163531
0.015 2.818115557
0.025 2.71896843
0.035 2.586356915
0.045 2.417804386
0.055 2.214489963
0.065 1.981830504
0.075 1.729357322
0.085 1.469662393
0.095 1.216565377
0.105 0.9829344295
0.115 0.7787294211
0.125 0.6097644735
0.135 0.4774378237
0.145 0.3793618693
0.155 0.310576685
0.165 0.2649315827
0.175 0.2362771094
0.185 0.219264215
0.195 0.2097159001
0.205 0.2046572867
0.215 0.2021402314
0.225 0.2009902607
0.235 0.2005646419
0.245 0.2005669915
0.255 0.200931211
0.265 0.201769499
0.275 0.2033721104
0.285 0.2062441916
0.295 0.2111619414
0.305 0.2192237187
0.315 0.2318625043
0.325 0.2507794936
0.335 0.277763039
0.345 0.3143809327
0.355 0.3615789811
0.365 0.4192741663
0.375 0.4860720408
0.385 0.559236609
0.395 0.6349812689
0.405 0.7090448034
0.415 0.777409349
0.425 0.8369589815
0.435 0.8858982946
0.445 0.9238404705
0.455 0.9515900585
0.465 0.970735151
0.475 0.9831951106
0.485 0.9908440775
0.495 0.9952724393
0.505 0.9976895839
0.515 0.9989328387
0.525 0.9995349504
0.535 0.9998092018
0.545 0.9999264706
0.555 0.999973368
0.565 0.9999906668
0.575 0.9999960414
0.585 0.9999961662
0.595 0.9999923213
0.605 0.9999821458
0.615 0.9999587506
0.625 0.9999071843
0.635 0.9997971895
0.645 0.9995701809
0.655 0.9991175008
0.665 0.9982466188
0.675 0.9966328205
0.685 0.9937571865
0.695 0.9888384034
0.705 0.9807763554
0.715 0.968137508
0.725 0.9492205073
0.735 0.9222369606
0.745 0.8856190671
0.755 0.8384210189
0.765 0.7807258337
0.775 0.7139279591
0.785 0.6407633907
0.795 0.5650187301
0.805 0.4909551934
0.815 0.4225906413
0.825 0.3630409885
0.835 0.3141016151
0.845 0.2761592617
0.855 0.2484091598
0.865 0.2292626048
0.875 0.2167985513
0.885 0.209138314
0.895 0.204679421
0.905 0.2021809181
0.915 0.2007240201
0.925 0.1995702453
0.935 0.1978861125
0.945 0.1942428654
0.955 0.1853256533
0.965 0.1641028628
0.975 0.1092798522
0.985 -0.005626248555
0.995 -0.3753533605
1.005 -2.375353361
