X Density
0.005 2.998808119
0.015 2.99793794
0.025 2.996610751
0.035 2.994577219
0.045 2.991526039
0.055 2.987044722
0.065 2.980598172
0.075 2.971510706
0.085 2.958953182
0.095 2.941938698
0.105 2.919330757
0.115 2.889867617
0.125 2.85220581
0.135 2.804984236
0.145 2.746908044
0.155 2.676848666
0.165 2.59395334
0.175 2.497754601
0.185 2.38826814
0.195 2.266066624
0.205 2.132317935
0.215 1.988778976
0.225 1.837740582
0.235 1.681924579
0.245 1.524340006
0.255 1.368110877
0.265 1.216291857
0.275 1.071690031
0.285 0.9367103033
0.295 0.8132388947
0.305 0.7025745289
0.315 0.6054108831
0.325 0.5218678475
0.335 0.4515639085
0.345 0.3937182756
0.355 0.3472695669
0.365 0.3109979513
0.375 0.2836392968
0.385 0.2639825811
0.395 0.2509449749
0.405 0.243622086
0.415 0.2413134509
0.425 0.2435252862
0.435 0.2499537478
0.445 0.260452608
0.455 0.2749895484
0.465 0.2935953532
0.475 0.3163103135
0.485 0.3431321533
0.495 0.3739697081
0.505 0.4086063351
0.515 0.4466764649
0.525 0.4876577536
0.535 0.5308799416
0.545 0.5755498705
0.555 0.6207903468
0.565 0.6656889312
0.575 0.7093515286
0.585 0.750955098
0.595 0.7897939893
0.605 0.8253153401
0.615 0.8571404799
0.625 0.8850711348
0.635 0.9090811029
0.645 0.929295687
0.655 0.9459623038
0.665 0.9594162147
0.675 0.9700452474
0.685 0.9782567957
0.695 0.9844494648
0.705 0.9889906721
0.715 0.9922005063
0.725 0.9943413178
0.735 0.9956119688
0.745 0.9961454169
0.755 0.9960083354
0.765 0.9952017253
0.775 0.9936618861
0.785 0.9912615945
0.795 0.9878118368
0.805 0.9830648684
0.815 0.9767196716
0.825 0.9684309957
0.835 0.9578230438
0.845 0.9445084751
0.855 0.9281127342
0.865 0.9083027937
0.875 0.884818241
0.885 0.8575012312
0.895 0.8263199455
0.905 0.7913772273
0.915 0.7528898968
0.925 0.7111122803
0.935 0.6661407173
0.945 0.6175012577
0.955 0.5630773804
0.965 0.4975892204
0.975 0.4046353448
0.985 0.2636698524
0.995 -0.06661811237
1.005 -2.066618112
