X Density
0.005 2.999986425
0.015 2.999976211
0.025 2.999960194
0.035 2.999934767
0.045 2.999894977
0.055 2.999833618
0.065 2.999740322
0.075 2.999600364
0.085 2.999393124
0.095 2.999090122
0.105 2.998652561
0.115 2.99802832
0.125 2.997148358
0.135 2.995922512
0.145 2.994234725
0.155 2.991937794
0.165 2.988847807
0.175 2.984738526
0.185 2.97933606
0.195 2.972314294
0.205 2.963291608
0.215 2.951829519
0.225 2.937433893
0.235 2.919559387
0.245 2.897617705
0.255 2.8709901
0.265 2.839044354
0.275 2.801156157
0.285 2.756734478
0.295 2.705250101
0.305 2.646266127
0.315 2.579468862
0.325 2.504697222
0.335 2.421968608
0.345 2.3314992
0.355 2.233716733
0.365 2.129264224
0.375 2.018993548
0.385 1.903948499
0.395 1.785337658
0.405 1.664498184
0.415 1.542852355
0.425 1.421859304
0.435 1.302964768
0.445 1.187551906
0.455 1.076896122
0.465 0.9721265425
0.475 0.874196253
0.485 0.7838626898
0.495 0.7016787896
0.505 0.6279946805
0.515 0.5629689389
0.525 0.5065877968
0.535 0.4586902284
0.545 0.418996584
0.555 0.3871384009
0.565 0.3626871766
0.575 0.3451802156
0.585 0.3341421166
0.595 0.3291009898
0.605 0.3295990468
0.615 0.3351977285
0.625 0.3454779923
0.635 0.3600367373
0.645 0.378480586
0.655 0.400418347
0.665 0.425453472
0.675 0.4531776858
0.685 0.483166743
0.695 0.514978973
0.705 0.5481569366
0.715 0.58223218
0.725 0.616732749
0.735 0.6511928578
0.745 0.6851639061
0.755 0.7182259255
0.765 0.7499985112
0.775 0.7801503585
0.785 0.8084066638
0.795 0.8345538467
0.805 0.8584412819
0.815 0.8799799718
0.825 0.8991383222
0.835 0.9159353761
0.845 0.9304320092
0.855 0.9427206743
0.865 0.9529142965
0.875 0.9611348595
0.885 0.9675020545
0.895 0.9721220487
0.905 0.9750758434
0.915 0.9764055601
0.925 0.9760950077
0.935 0.9740358257
0.945 0.9699666271
0.955 0.9633323111
0.965 0.9531034697
0.975 0.93686706
0.985 0.9118887559
0.995 0.8619814542
1.005 -1.138018546
