X Density
0.005 3
0.015 3
0.025 3
0.035 3
0.045 2.999999999
0.055 2.999999999
0.065 2.999999998
0.075 2.999999997
0.085 2.999999996
0.095 2.999999993
0.105 2.999999989
0.115 2.999999984
0.125 2.999999975
0.135 2.999999961
0.145 2.999999941
0.155 2.999999911
0.165 2.999999866
0.175 2.999999799
0.185 2.999999701
0.195 2.999999558
0.205 2.99999935
0.215 2.999999049
0.225 2.999998617
0.235 2.999998
0.245 2.999997122
0.255 2.999995882
0.265 2.999994138
0.275 2.9999917
0.285 2.999988308
0.295 2.999983614
0.305 2.999977154
0.315 2.99996831
0.325 2.999956265
0.335 2.999939948
0.345 2.999917959
0.355 2.999888481
0.365 2.999849172
0.375 2.999797024
0.385 2.999728209
0.395 2.999637871
0.405 2.999519898
0.415 2.999366643
0.425 2.999168592
0.435 2.998913989
0.445 2.998588397
0.455 2.998174201
0.465 2.997650045
0.475 2.996990214
0.485 2.996163941
0.495 2.995134673
0.505 2.993859274
0.515 2.992287197
0.525 2.990359632
0.535 2.988008654
0.545 2.985156389
0.555 2.981714239
0.565 2.977582194
0.575 2.972648268
0.585 2.966788114
0.595 2.959864848
0.605 2.951729148
0.615 2.942219659
0.625 2.931163759
0.635 2.918378721
0.645 2.903673318
0.655 2.886849872
0.665 2.867706787
0.675 2.846041539
0.685 2.821654123
0.695 2.794350909
0.705 2.763948862
0.715 2.730280033
0.725 2.693196245
0.735 2.652573858
0.745 2.608318472
0.755 2.560369452
0.765 2.508704111
0.775 2.453341422
0.785 2.394345092
0.795 2.331825889
0.805 2.265943086
0.815 2.196904933
0.825 2.124968076
0.835 2.050435884
0.845 1.973655656
0.855 1.895014702
0.865 1.814935272
0.875 1.733868226
0.885 1.65228513
0.895 1.570667922
0.905 1.489494117
0.915 1.409212904
0.925 1.330202465
0.935 1.252686088
0.945 1.176572875
0.955 1.101101078
0.965 1.024348586
0.975 0.9413222443
0.985 0.8457764382
0.995 0.7087995396
1.005 -1.29120046
