X Density
0.005 2.999961689
0.015 2.999933004
0.025 2.999888224
0.035 2.999817543
0.045 2.999707676
0.055 2.999539569
0.065 2.999286198
0.075 2.998909822
0.085 2.998358538
0.095 2.997562071
0.105 2.996426759
0.115 2.994829736
0.125 2.992612418
0.135 2.989573488
0.145 2.985461679
0.155 2.979968844
0.165 2.972723901
0.175 2.963288412
0.185 2.95115466
0.195 2.93574715
0.205 2.916428463
0.215 2.892510264
0.225 2.863270076
0.235 2.827974081
0.245 2.785905761
0.255 2.736399664
0.265 2.67887897
0.275 2.612894995
0.285 2.53816619
0.295 2.454613899
0.305 2.362391914
0.315 2.261907002
0.325 2.153827952
0.335 2.039081348
0.345 1.918833192
0.355 1.794456582
0.365 1.667486772
0.375 1.53956607
0.385 1.412381921
0.395 1.287602175
0.405 1.166811862
0.415 1.051455644
0.425 0.9427896695
0.435 0.841845713
0.445 0.7494094138
0.455 0.6660132442
0.465 0.5919436228
0.475 0.5272605121
0.485 0.4718269699
0.495 0.4253455426
0.505 0.3873981292
0.515 0.3574859987
0.525 0.3350669842
0.535 0.3195874317
0.545 0.3105071962
0.555 0.3073167487
0.565 0.3095462337
0.575 0.3167670212
0.585 0.3285868788
0.595 0.3446403258
0.605 0.3645759896
0.615 0.388042873
0.625 0.4146773609
0.635 0.4440925653
0.645 0.4758712615
0.655 0.5095632324
0.665 0.5446873586
0.675 0.5807383079
0.685 0.6171972294
0.695 0.6535454888
0.705 0.6892802166
0.715 0.7239303056
0.725 0.7570714907
0.735 0.7883392729
0.745 0.8174386866
0.755 0.8441502202
0.765 0.868331563
0.775 0.8899152047
0.785 0.9089022446
0.795 0.9253530257
0.805 0.9393753902
0.815 0.9511114418
0.825 0.9607237021
0.835 0.968381478
0.845 0.9742481281
0.855 0.9784697492
0.865 0.9811656106
0.875 0.9824204317
0.885 0.9822782907
0.895 0.9807374573
0.905 0.9777445293
0.915 0.9731843593
0.925 0.9668587659
0.935 0.9584376916
0.945 0.9473588419
0.955 0.9325757876
0.965 0.9122217813
0.975 0.8818964956
0.985 0.8365474303
0.995 0.7458590191
1.005 -1.254140981
