X Density
0.005 3
0.015 3
0.025 3
0.035 3
0.045 3
0.055 3
0.065 3
0.075 3
0.085 2.999999999
0.095 2.999999999
0.105 2.999999998
0.115 2.999999997
0.125 2.999999995
0.135 2.999999993
0.145 2.999999989
0.155 2.999999983
0.165 2.999999975
0.175 2.999999962
0.185 2.999999944
0.195 2.999999916
0.205 2.999999876
0.215 2.999999817
0.225 2.999999732
0.235 2.999999609
0.245 2.999999433
0.255 2.999999182
0.265 2.999998825
0.275 2.999998321
0.285 2.999997612
0.295 2.999996621
0.305 2.999995241
0.315 2.99999333
0.325 2.999990695
0.335 2.999987082
0.345 2.99998215
0.355 2.99997545
0.365 2.999966395
0.375 2.999954213
0.385 2.999937907
0.395 2.999916185
0.405 2.999887387
0.415 2.999849394
0.425 2.999799512
0.435 2.999734338
0.445 2.999649594
0.455 2.999539939
0.465 2.999398736
0.475 2.999217789
0.485 2.998987033
0.495 2.998694186
0.505 2.998324341
0.515 2.997859524
0.525 2.997278184
0.535 2.996554647
0.545 2.995658518
0.555 2.994554036
0.565 2.993199403
0.575 2.99154608
0.585 2.989538081
0.595 2.987111265
0.605 2.984192663
0.615 2.980699856
0.625 2.976540432
0.635 2.971611562
0.645 2.965799713
0.655 2.958980553
0.665 2.951019076
0.675 2.941769977
0.685 2.931078324
0.695 2.918780552
0.705 2.904705804
0.715 2.888677638
0.725 2.870516119
0.735 2.850040272
0.745 2.827070913
0.755 2.80143381
0.765 2.772963139
0.775 2.741505178
0.785 2.706922182
0.795 2.669096335
0.805 2.627933696
0.815 2.583368045
0.825 2.535364487
0.835 2.483922726
0.845 2.429079876
0.855 2.370912678
0.865 2.309539008
0.875 2.245118533
0.885 2.177852381
0.895 2.107981756
0.905 2.035785698
0.915 1.961579421
0.925 1.885717821
0.935 1.80862336
0.945 1.730873039
0.955 1.653574218
0.965 1.578951431
0.975 1.514956488
0.985 1.471662752
0.995 1.542617598
1.005 -0.4573824022
