X Density
0.005 2.999999773
0.015 2.9999996
0.025 2.999999325
0.035 2.999998881
0.045 2.999998175
0.055 2.999997062
0.065 2.99999533
0.075 2.999992662
0.085 2.999988596
0.095 2.999982458
0.105 2.999973285
0.115 2.9999597
0.125 2.999939767
0.135 2.999910782
0.145 2.999869003
0.155 2.999809308
0.165 2.999724746
0.175 2.999605976
0.185 2.999440565
0.195 2.999212128
0.205 2.998899275
0.215 2.998474366
0.225 2.997902027
0.235 2.997137453
0.245 2.996124466
0.255 2.994793365
0.265 2.993058577
0.275 2.990816183
0.285 2.987941377
0.295 2.984285966
0.305 2.979676045
0.315 2.973909997
0.325 2.966757011
0.335 2.957956314
0.345 2.947217338
0.355 2.934221033
0.365 2.918622542
0.375 2.900055401
0.385 2.878137395
0.395 2.852478145
0.405 2.822688394
0.415 2.788390884
0.425 2.749232598
0.435 2.704898042
0.445 2.65512311
0.455 2.599709011
0.465 2.53853563
0.475 2.471573664
0.485 2.39889486
0.495 2.320679712
0.505 2.237222029
0.515 2.148929946
0.525 2.056323036
0.535 1.960025442
0.545 1.860755087
0.555 1.759309275
0.565 1.656547173
0.575 1.553369864
0.585 1.450698781
0.595 1.349453448
0.605 1.250529487
0.615 1.154777814
0.625 1.062985899
0.635 0.9758618037
0.645 0.8940215532
0.655 0.817980193
0.665 0.7481466607
0.675 0.6848223897
0.685 0.6282033635
0.695 0.5783851741
0.705 0.5353705102
0.715 0.4990784269
0.725 0.4693547216
0.735 0.4459827614
0.745 0.4286941791
0.755 0.4171789482
0.765 0.411094478
0.775 0.4100735036
0.785 0.4137306794
0.795 0.4216679131
0.805 0.433478577
0.815 0.4487508126
0.825 0.4670701876
0.835 0.488021979
0.845 0.5111933374
0.855 0.5361755447
0.865 0.562566508
0.875 0.5899735465
0.885 0.6180164116
0.895 0.6463303097
0.905 0.6745683866
0.915 0.702402399
0.925 0.7295187619
0.935 0.7556015429
0.945 0.7802886305
0.955 0.8030211691
0.965 0.8228228712
0.975 0.8367413043
0.985 0.8412152797
0.995 0.8054361329
1.005 -1.194563867
