X Density
0.005 2.999999999
0.015 2.999999997
0.025 2.999999996
0.035 2.999999993
0.045 2.999999988
0.055 2.99999998
0.065 2.999999968
0.075 2.999999948
0.085 2.999999919
0.095 2.999999872
0.105 2.999999802
0.115 2.999999695
0.125 2.999999533
0.135 2.999999291
0.145 2.99999893
0.155 2.999998399
0.165 2.999997619
0.175 2.999996482
0.185 2.999994836
0.195 2.999992468
0.205 2.999989085
0.215 2.999984279
0.225 2.999977498
0.235 2.999967986
0.245 2.999954729
0.255 2.999936365
0.265 2.999911083
0.275 2.99987649
0.285 2.999829445
0.295 2.999765857
0.305 2.999680429
0.315 2.999566358
0.325 2.999414961
0.335 2.999215241
0.345 2.998953369
0.355 2.998612078
0.365 2.998169974
0.375 2.99760074
0.385 2.996872252
0.395 2.995945599
0.405 2.994774011
0.415 2.993301726
0.425 2.991462787
0.435 2.98917983
0.445 2.986362873
0.455 2.982908161
0.465 2.97869712
0.475 2.973595487
0.485 2.967452672
0.495 2.960101438
0.505 2.95135797
0.515 2.941022422
0.525 2.928879999
0.535 2.914702657
0.545 2.898251466
0.555 2.879279682
0.565 2.857536534
0.575 2.832771713
0.585 2.804740544
0.595 2.773209727
0.605 2.737963584
0.615 2.698810629
0.625 2.655590311
0.635 2.608179721
0.645 2.556500039
0.655 2.50052248
0.665 2.440273505
0.675 2.375839061
0.685 2.30736763
0.695 2.235071904
0.705 2.159228936
0.715 2.080178684
0.725 1.998320885
0.735 1.914110306
0.745 1.828050443
0.755 1.740685826
0.765 1.652593122
0.775 1.564371308
0.785 1.476631199
0.795 1.389984639
0.805 1.305033711
0.815 1.222360257
0.825 1.142516046
0.835 1.066013832
0.845 0.9933195345
0.855 0.9248456794
0.865 0.8609461354
0.875 0.8019119922
0.885 0.7479680682
0.895 0.6992687353
0.905 0.6558899593
0.915 0.61780996
0.925 0.5848615997
0.935 0.556609809
0.945 0.532078026
0.955 0.5089529247
0.965 0.4824229553
0.975 0.4384211256
0.985 0.3593407117
0.995 0.120061285
1.005 -1.879938715
