X Density
0.005 2.974897386
0.015 2.95747899
0.025 2.932157957
0.035 2.895715945
0.045 2.84502057
0.055 2.776899834
0.065 2.688460118
0.075 2.57750974
0.085 2.443008886
0.095 2.285465494
0.105 2.107188729
0.115 1.912322923
0.125 1.706618552
0.135 1.496947716
0.145 1.290627655
0.155 1.09466141
0.165 0.915026192
0.175 0.7561300852
0.185 0.6205191976
0.195 0.5088614673
0.205 0.4201762006
0.215 0.3522351255
0.225 0.3020406259
0.235 0.2662911729
0.245 0.2417669597
0.255 0.2256006199
0.265 0.2154287834
0.275 0.2094430704
0.285 0.2063709724
0.295 0.2054186255
0.305 0.2062016588
0.315 0.2086806905
0.325 0.2131077446
0.335 0.2199810145
0.345 0.229999292
0.355 0.2440047114
0.365 0.2629036197
0.375 0.2875603994
0.385 0.3186673493
0.395 0.3566037242
0.405 0.4013062207
0.415 0.4521784292
0.425 0.5080653308
0.435 0.567309592
0.445 0.6278905171
0.455 0.6876278785
0.465 0.7444168332
0.475 0.796451819
0.485 0.8423995406
0.495 0.88149335
0.505 0.9135397281
0.515 0.9388466207
0.525 0.9580977997
0.535 0.9722039685
0.545 0.982159632
0.555 0.9889269114
0.565 0.9933569116
0.575 0.996149276
0.585 0.9978434543
0.595 0.9988317465
0.605 0.9993839467
0.615 0.9996752532
0.625 0.9998118004
0.635 0.9998507242
0.645 0.9998135633
0.655 0.9996928793
0.665 0.9994524034
0.675 0.9990210447
0.685 0.9982810644
0.695 0.9970509126
0.705 0.9950638873
0.715 0.9919450392
0.725 0.9871905668
0.735 0.9801560154
0.745 0.9700613064
0.755 0.9560210623
0.765 0.9371069107
0.775 0.9124437271
0.785 0.8813341975
0.795 0.8433968252
0.805 0.798693953
0.815 0.7478215892
0.825 0.6919345731
0.835 0.6326901104
0.845 0.5721086936
0.855 0.5123700787
0.865 0.4555779398
0.875 0.4035349343
0.885 0.3575671912
0.895 0.3184238047
0.905 0.2862556425
0.915 0.2606515194
0.925 0.2406805387
0.935 0.2248357715
0.945 0.2107308901
0.955 0.1939463252
0.965 0.1662783965
0.975 0.1051428389
0.985 -0.01710330312
0.995 -0.3976376074
1.005 -2.397637607
