X Density
0.005 2.999999999
0.015 2.999999999
0.025 2.999999998
0.035 2.999999996
0.045 2.999999994
0.055 2.99999999
0.065 2.999999985
0.075 2.999999975
0.085 2.999999961
0.095 2.999999939
0.105 2.999999905
0.115 2.999999853
0.125 2.999999775
0.135 2.999999657
0.145 2.999999481
0.155 2.999999221
0.165 2.999998838
0.175 2.999998277
0.185 2.999997462
0.195 2.999996285
0.205 2.999994594
0.215 2.999992181
0.225 2.999988759
0.235 2.999983935
0.245 2.999977173
0.255 2.999967755
0.265 2.999954712
0.275 2.999936757
0.285 2.999912185
0.295 2.999878756
0.305 2.999833542
0.315 2.999772747
0.325 2.999691477
0.335 2.999583471
0.345 2.999440768
0.355 2.999253321
0.365 2.999008532
0.375 2.998690719
0.385 2.998280497
0.395 2.99775408
0.405 2.997082489
0.415 2.996230676
0.425 2.99515658
0.435 2.993810095
0.445 2.992132
0.455 2.990052853
0.465 2.987491881
0.475 2.984355907
0.485 2.980538356
0.495 2.975918393
0.505 2.970360249
0.515 2.963712798
0.525 2.955809459
0.535 2.946468482
0.545 2.935493695
0.555 2.92267577
0.565 2.907794056
0.575 2.890619036
0.585 2.870915412
0.595 2.848445842
0.605 2.822975288
0.615 2.794275945
0.625 2.762132662
0.635 2.726348754
0.645 2.686752069
0.655 2.643201144
0.665 2.595591271
0.675 2.543860278
0.685 2.487993794
0.695 2.428029814
0.705 2.364062344
0.715 2.29624394
0.725 2.224787002
0.735 2.149963675
0.745 2.072104305
0.755 1.991594408
0.765 1.908870181
0.775 1.82441264
0.785 1.738740515
0.795 1.652402085
0.805 1.565966176
0.815 1.480012584
0.825 1.395122191
0.835 1.311867058
0.845 1.23080077
0.855 1.152449253
0.865 1.077302215
0.875 1.005805189
0.885 0.9383517702
0.895 0.8752748222
0.905 0.8168335382
0.915 0.7631886317
0.925 0.7143484724
0.935 0.6700395145
0.945 0.6294254959
0.955 0.5903177898
0.965 0.5480293627
0.975 0.4889326203
0.985 0.3959466684
0.995 0.151350589
1.005 -1.848649411
