X Density
0.005 2.993864637
0.015 2.989479998
0.025 2.982924928
0.035 2.973137842
0.045 2.958902284
0.055 2.938740542
0.065 2.910922403
0.075 2.873517183
0.085 2.824489798
0.095 2.761842573
0.105 2.683797856
0.115 2.589007913
0.125 2.476769959
0.135 2.347217482
0.145 2.201456293
0.155 2.041616493
0.165 1.870800462
0.175 1.692921002
0.185 1.512440805
0.195 1.334041073
0.205 1.162259798
0.215 1.001146102
0.225 0.8539746493
0.235 0.7230538738
0.245 0.6096460033
0.255 0.5139989185
0.265 0.4354735532
0.275 0.3727388473
0.285 0.3240008944
0.295 0.2872339837
0.305 0.2603873966
0.315 0.2415509124
0.325 0.2290716285
0.335 0.2216229275
0.345 0.2182320023
0.355 0.2182749396
0.365 0.2214483296
0.375 0.227724618
0.385 0.2372959733
0.395 0.2505093057
0.405 0.2677939283
0.415 0.2895835159
0.425 0.3162353863
0.435 0.3479522292
0.445 0.3847135019
0.455 0.4262249717
0.465 0.4718946203
0.475 0.5208409608
0.485 0.5719358771
0.495 0.6238790064
0.505 0.6752954687
0.515 0.7248445962
0.525 0.7713252206
0.535 0.8137636062
0.545 0.8514731895
0.555 0.8840802224
0.565 0.9115151077
0.575 0.9339744411
0.585 0.9518625372
0.595 0.9657229223
0.605 0.9761699202
0.615 0.9838284364
0.625 0.9892870799
0.635 0.9930666096
0.645 0.9956029734
0.655 0.9972423124
0.665 0.9982443257
0.675 0.9987902388
0.685 0.9989920507
0.695 0.9989005013
0.705 0.9985100827
0.715 0.9977602884
0.725 0.9965331025
0.735 0.9946474778
0.745 0.9918522732
0.755 0.9878198058
0.765 0.9821427754
0.775 0.9743377135
0.785 0.9638581166
0.795 0.9501198483
0.805 0.9325400926
0.815 0.9105890943
0.825 0.883851311
0.835 0.8520898323
0.845 0.8153055772
0.855 0.7737815238
0.865 0.7281025814
0.875 0.6791438839
0.885 0.6280239157
0.895 0.5760228856
0.905 0.5244692162
0.915 0.4745940438
0.925 0.4273410348
0.935 0.3830720842
0.945 0.3410618969
0.955 0.298222252
0.965 0.2473100269
0.975 0.1667155823
0.985 0.02943612207
0.995 -0.3531371694
1.005 -2.353137169
