X Density
0.005 2.997952095
0.015 2.996465945
0.025 2.994211985
0.035 2.990783394
0.045 2.985683451
0.055 2.978268474
0.065 2.967724591
0.075 2.953054432
0.085 2.933076476
0.095 2.906442049
0.105 2.871674652
0.115 2.827234804
0.125 2.771611062
0.135 2.703434339
0.145 2.621608536
0.155 2.525446345
0.165 2.414795694
0.175 2.290140466
0.185 2.152659559
0.195 2.004231379
0.205 1.847376424
0.215 1.68513804
0.225 1.520909641
0.235 1.358224324
0.245 1.200528458
0.255 1.05096342
0.265 0.9121786993
0.275 0.786195176
0.285 0.6743303395
0.295 0.5771888651
0.305 0.4947136972
0.315 0.4262860026
0.325 0.3708579684
0.335 0.3271008263
0.345 0.2935515208
0.355 0.2687444818
0.365 0.2513191416
0.375 0.2400982427
0.385 0.2341358844
0.395 0.2327371747
0.405 0.2354531578
0.415 0.2420554905
0.425 0.2524954608
0.435 0.2668517358
0.445 0.2852710157
0.455 0.3079057473
0.465 0.3348532303
0.475 0.3661007156
0.485 0.4014811998
0.495 0.4406443196
0.505 0.4830458399
0.515 0.5279576473
0.525 0.5744980302
0.535 0.6216796056
0.545 0.6684699688
0.555 0.7138583926
0.565 0.7569210662
0.575 0.7968776163
0.585 0.833132977
0.595 0.8653008412
0.605 0.8932075256
0.615 0.9168776663
0.625 0.9365052841
0.635 0.952415126
0.645 0.9650196545
0.655 0.9747766802
0.665 0.9821516002
0.675 0.9875868034
0.685 0.9914793202
0.695 0.9941664867
0.705 0.9959184139
0.715 0.9969354926
0.725 0.9973489963
0.735 0.997223023
0.745 0.9965564345
0.755 0.9952840232
0.765 0.9932767718
0.775 0.9903416992
0.785 0.986222341
0.795 0.9806013374
0.805 0.9731068213
0.815 0.9633242615
0.825 0.9508150449
0.835 0.9351423738
0.845 0.9159040002
0.855 0.8927700287
0.865 0.8655226089
0.875 0.8340929822
0.885 0.7985901232
0.895 0.7593139599
0.905 0.7167441468
0.915 0.6714901611
0.925 0.6241769749
0.935 0.5752011816
0.945 0.5242546353
0.955 0.4691233958
0.965 0.4039958548
0.975 0.3104849831
0.985 0.165404156
0.995 -0.1923102023
1.005 -2.192310202
