X Density
0.005 3
0.015 3
0.025 3
0.035 3
0.045 3
0.055 3
0.065 3
0.075 2.999999999
0.085 2.999999999
0.095 2.999999998
0.105 2.999999997
0.115 2.999999995
0.125 2.999999993
0.135 2.999999988
0.145 2.999999982
0.155 2.999999973
0.165 2.99999996
0.175 2.999999939
0.185 2.999999909
0.195 2.999999865
0.205 2.9999998
0.215 2.999999707
0.225 2.999999571
0.235 2.999999376
0.245 2.999999097
0.255 2.9999987
0.265 2.999998138
0.275 2.999997346
0.285 2.999996235
0.295 2.999994686
0.305 2.999992536
0.315 2.999989568
0.325 2.99998549
0.335 2.999979916
0.345 2.999972333
0.355 2.99996207
0.365 2.999948248
0.375 2.999929725
0.385 2.999905024
0.395 2.99987225
0.405 2.999828977
0.415 2.999772125
0.425 2.999697801
0.435 2.999601116
0.445 2.999475964
0.455 2.999314764
0.465 2.999108161
0.475 2.998844674
0.485 2.998510309
0.495 2.998088099
0.505 2.997557612
0.515 2.996894386
0.525 2.99606933
0.535 2.995048059
0.545 2.993790206
0.555 2.992248689
0.565 2.990368966
0.575 2.988088291
0.585 2.985334987
0.595 2.982027764
0.605 2.978075116
0.615 2.973374819
0.625 2.967813578
0.635 2.961266853
0.645 2.953598902
0.655 2.944663093
0.665 2.934302504
0.675 2.922350866
0.685 2.908633861
0.695 2.892970814
0.705 2.875176774
0.715 2.855065007
0.725 2.832449872
0.735 2.807150064
0.745 2.77899219
0.755 2.747814603
0.765 2.713471447
0.775 2.675836806
0.785 2.634808869
0.795 2.590314001
0.805 2.542310593
0.815 2.490792579
0.825 2.435792488
0.835 2.377383916
0.845 2.315683288
0.855 2.250850809
0.865 2.183090455
0.875 2.112648869
0.885 2.039812923
0.895 1.964905571
0.905 1.888279455
0.915 1.810307638
0.925 1.731371418
0.935 1.651851058
0.945 1.572132208
0.955 1.492748052
0.965 1.414624693
0.975 1.341670594
0.985 1.278865534
0.995 1.282133341
1.005 -0.7178666586
