X Density
0.005 2.999999996
0.015 2.999999993
0.025 2.999999988
0.035 2.99999998
0.045 2.999999967
0.055 2.999999946
0.065 2.999999913
0.075 2.999999861
0.085 2.999999782
0.095 2.999999659
0.105 2.999999472
0.115 2.999999189
0.125 2.999998764
0.135 2.999998131
0.145 2.999997194
0.155 2.999995818
0.165 2.999993809
0.175 2.9999909
0.185 2.999986713
0.195 2.99998073
0.205 2.999972235
0.215 2.999960254
0.225 2.999943469
0.235 2.999920107
0.245 2.999887801
0.255 2.999843417
0.265 2.999782833
0.275 2.99970067
0.285 2.999589956
0.295 2.999441725
0.305 2.999244535
0.315 2.998983891
0.325 2.998641576
0.335 2.998194867
0.345 2.997615647
0.355 2.996869401
0.365 2.995914102
0.375 2.994698996
0.385 2.993163297
0.395 2.991234832
0.405 2.988828644
0.415 2.985845624
0.425 2.982171205
0.435 2.977674196
0.445 2.972205829
0.455 2.965599101
0.465 2.957668498
0.475 2.94821021
0.485 2.937002909
0.495 2.923809192
0.505 2.908377766
0.515 2.890446419
0.525 2.869745837
0.535 2.846004243
0.545 2.818952862
0.555 2.788332119
0.565 2.753898478
0.575 2.715431758
0.585 2.672742748
0.595 2.625680881
0.605 2.574141715
0.615 2.518073936
0.625 2.4574856
0.635 2.392449329
0.645 2.323106179
0.655 2.249667972
0.665 2.172417874
0.675 2.091709108
0.685 2.00796174
0.695 1.921657539
0.705 1.833333022
0.715 1.743570841
0.725 1.652989764
0.735 1.562233545
0.745 1.471959044
0.755 1.382823977
0.765 1.295474689
0.775 1.210534357
0.785 1.12859197
0.795 1.050192431
0.805 0.9758280343
0.815 0.9059315319
0.825 0.8408709072
0.835 0.7809459072
0.845 0.7263862997
0.855 0.6773517384
0.865 0.6339330217
0.875 0.596154383
0.885 0.5639761753
0.895 0.5372966705
0.905 0.5159502157
0.915 0.4996951124
0.925 0.4881764349
0.935 0.4808219442
0.945 0.4766025007
0.955 0.4733109179
0.965 0.4665027259
0.975 0.4431046455
0.985 0.3867899224
0.995 0.1775940533
1.005 -1.822405947
