X Density
0.005 2.999999936
0.015 2.999999887
0.025 2.999999809
0.035 2.999999682
0.045 2.99999948
0.055 2.99999916
0.065 2.999998659
0.075 2.999997884
0.085 2.999996694
0.095 2.999994887
0.105 2.999992166
0.115 2.999988105
0.125 2.999982096
0.135 2.999973279
0.145 2.999960447
0.155 2.999941925
0.165 2.999915403
0.175 2.999877726
0.185 2.99982462
0.195 2.999750349
0.205 2.999647281
0.215 2.999505344
0.225 2.999311374
0.235 2.999048311
0.245 2.998694249
0.255 2.998221312
0.265 2.997594355
0.275 2.996769482
0.285 2.995692384
0.295 2.994296521
0.305 2.992501162
0.315 2.990209341
0.325 2.987305787
0.335 2.983654915
0.345 2.979098967
0.355 2.973456449
0.365 2.966520984
0.375 2.958060748
0.385 2.947818645
0.395 2.93551339
0.405 2.92084165
0.415 2.903481374
0.425 2.883096418
0.435 2.859342509
0.445 2.831874563
0.455 2.80035526
0.465 2.764464754
0.475 2.72391127
0.485 2.6784423
0.495 2.627855999
0.505 2.572012362
0.515 2.510843672
0.525 2.444363742
0.535 2.372675426
0.545 2.295975952
0.555 2.214559675
0.565 2.128817937
0.575 2.039235861
0.585 1.946386023
0.595 1.850919109
0.605 1.753551794
0.615 1.655052264
0.625 1.556223867
0.635 1.457887539
0.645 1.360863675
0.655 1.265954151
0.665 1.173925206
0.675 1.085491813
0.685 1.001304098
0.695 0.9219362375
0.705 0.8478781265
0.715 0.7795299556
0.725 0.7171996891
0.735 0.6611032849
0.745 0.6113673816
0.755 0.5680340749
0.765 0.5310673438
0.775 0.5003606525
0.785 0.4757452552
0.795 0.4569987635
0.805 0.4438535933
0.815 0.4360049822
0.825 0.4331183573
0.835 0.4348359219
0.845 0.4407824139
0.855 0.4505700595
0.865 0.4638027939
0.875 0.480079831
0.885 0.4989986011
0.895 0.5201568717
0.905 0.5431533188
0.915 0.5675843231
0.925 0.5930315446
0.935 0.6190233044
0.945 0.6449414777
0.955 0.6697164351
0.965 0.6913765317
0.975 0.7040354885
0.985 0.7004475576
0.995 0.622035955
1.005 -1.377964045
