X Density
0.005 2.99999997
0.015 2.999999947
0.025 2.99999991
0.035 2.99999985
0.045 2.999999755
0.055 2.999999603
0.065 2.999999365
0.075 2.999998995
0.085 2.999998426
0.095 2.999997559
0.105 2.999996247
0.115 2.999994282
0.125 2.999991361
0.135 2.999987054
0.145 2.999980754
0.155 2.999971612
0.165 2.999958447
0.175 2.999939631
0.185 2.999912942
0.195 2.999875369
0.205 2.999822861
0.215 2.999750025
0.225 2.999649725
0.235 2.999512613
0.245 2.999326536
0.255 2.999075833
0.265 2.998740495
0.275 2.998295176
0.285 2.997708057
0.295 2.996939541
0.305 2.995940803
0.315 2.994652186
0.325 2.99300148
0.335 2.990902113
0.345 2.988251307
0.355 2.98492826
0.365 2.980792444
0.375 2.975682114
0.385 2.969413147
0.395 2.961778336
0.405 2.952547279
0.415 2.941467
0.425 2.928263436
0.435 2.912643919
0.445 2.894300744
0.455 2.872915894
0.465 2.84816694
0.475 2.819734091
0.485 2.787308309
0.495 2.750600316
0.505 2.709350293
0.515 2.663337973
0.525 2.612392789
0.535 2.556403683
0.545 2.495328162
0.555 2.429200165
0.565 2.358136328
0.575 2.282340256
0.585 2.202104488
0.595 2.117809906
0.605 2.02992246
0.615 1.938987177
0.625 1.845619565
0.635 1.750494634
0.645 1.654333872
0.655 1.557890635
0.665 1.461934467
0.675 1.367234924
0.685 1.274545516
0.695 1.184588345
0.705 1.098039987
0.715 1.015519091
0.725 0.9375760777
0.735 0.8646851923
0.745 0.7972390552
0.755 0.7355457262
0.765 0.6798281758
0.775 0.6302259588
0.785 0.5867987957
0.795 0.5495317139
0.805 0.5183413612
0.815 0.4930831038
0.825 0.4735585335
0.835 0.4595230513
0.845 0.4506932451
0.855 0.4467538398
0.865 0.4473640501
0.875 0.4521631874
0.885 0.4607753178
0.895 0.4728125061
0.905 0.4878754553
0.915 0.5055482763
0.925 0.5253796052
0.935 0.5468263788
0.945 0.5691208309
0.955 0.5908472023
0.965 0.6093169177
0.975 0.6165241437
0.985 0.6025488436
0.995 0.4895721288
1.005 -1.510427871
