X Density
0.005 2.999982418
0.015 2.999969203
0.025 2.999948503
0.035 2.999915685
0.045 2.999864409
0.055 2.999785483
0.065 2.999665721
0.075 2.999486469
0.085 2.999221717
0.095 2.998835698
0.105 2.998279933
0.115 2.997489645
0.125 2.996379532
0.135 2.994838904
0.145 2.992726263
0.155 2.989863488
0.165 2.986029847
0.175 2.980956218
0.185 2.974319943
0.195 2.965740913
0.205 2.954779521
0.215 2.940937191
0.225 2.923660217
0.235 2.902347547
0.245 2.876363051
0.255 2.845052562
0.265 2.807765688
0.275 2.763882029
0.285 2.712840964
0.295 2.654173807
0.305 2.587536633
0.315 2.512741816
0.325 2.429786062
0.335 2.338872674
0.345 2.240425965
0.355 2.13509605
0.365 2.02375282
0.375 1.907468602
0.385 1.787489825
0.395 1.665198861
0.405 1.542067998
0.415 1.419608183
0.425 1.299315614
0.435 1.182619487
0.445 1.070834105
0.455 0.9651182243
0.465 0.8664439101
0.475 0.7755763875
0.485 0.6930655096
0.495 0.6192485514
0.505 0.5542632181
0.515 0.4980690632
0.525 0.4504750255
0.535 0.4111705308
0.545 0.3797575807
0.555 0.3557814406
0.565 0.3387579155
0.575 0.3281957071
0.585 0.3236129275
0.595 0.3245474459
0.605 0.3305613078
0.615 0.3412399561
0.625 0.3561873599
0.635 0.3750184005
0.645 0.3973499734
0.655 0.4227922334
0.665 0.4509412587
0.675 0.4813741569
0.685 0.51364731
0.695 0.5472980895
0.705 0.5818499967
0.715 0.6168208411
0.725 0.6517332713
0.735 0.6861267648
0.745 0.7195700602
0.755 0.7516729985
0.765 0.7820968143
0.775 0.8105620782
0.785 0.8368537143
0.795 0.8608227716
0.805 0.8823849002
0.815 0.9015157286
0.825 0.9182435547
0.835 0.9326399148
0.845 0.9448086882
0.855 0.9548744164
0.865 0.9629704651
0.875 0.9692275316
0.885 0.9737627779
0.895 0.9766694807
0.905 0.978006424
0.915 0.9777849459
0.925 0.9759492589
0.935 0.9723397493
0.945 0.9666243613
0.955 0.958135891
0.965 0.9456608561
0.975 0.9263727326
0.985 0.8970613875
0.995 0.8387657349
1.005 -1.161234265
