X Density
0.005 2.999998957
0.015 2.999998165
0.025 2.999996912
0.035 2.999994901
0.045 2.999991715
0.055 2.99998673
0.065 2.999979026
0.075 2.999967255
0.085 2.999949471
0.095 2.999922891
0.105 2.999883575
0.115 2.999826014
0.125 2.999742579
0.135 2.999622824
0.145 2.999452597
0.155 2.999212937
0.165 2.998878712
0.175 2.998416979
0.185 2.997785038
0.195 2.99692816
0.205 2.995777005
0.215 2.994244738
0.225 2.992223905
0.235 2.989583148
0.245 2.986163879
0.255 2.981777085
0.265 2.976200468
0.275 2.969176165
0.285 2.960409343
0.295 2.94956797
0.305 2.936284085
0.315 2.920156867
0.325 2.90075778
0.335 2.877637983
0.345 2.850338122
0.355 2.818400475
0.365 2.781383289
0.375 2.738876978
0.385 2.690521668
0.395 2.636025425
0.405 2.575182356
0.415 2.507889652
0.425 2.434162592
0.435 2.354146536
0.445 2.268124997
0.455 2.176523029
0.465 2.079905377
0.475 1.978969113
0.485 1.874530777
0.495 1.76750837
0.505 1.658898878
0.515 1.549752287
0.525 1.441143277
0.535 1.334141955
0.545 1.229785037
0.555 1.129048869
0.565 1.032825543
0.575 0.9419031545
0.585 0.8569509629
0.595 0.7785098904
0.605 0.70698845
0.615 0.6426638586
0.625 0.5856877872
0.635 0.536095962
0.645 0.4938206576
0.655 0.458705038
0.665 0.4305182999
0.675 0.4089706463
0.685 0.3937272613
0.695 0.3844206475
0.705 0.3806609092
0.715 0.3820437914
0.725 0.3881565046
0.735 0.3985815571
0.745 0.4128989598
0.755 0.4306872728
0.765 0.4515240004
0.775 0.4749858378
0.785 0.5006492087
0.795 0.528091445
0.805 0.5568928322
0.815 0.586639612
0.825 0.6169278963
0.835 0.6473683265
0.845 0.6775912055
0.855 0.7072517618
0.865 0.7360351613
0.875 0.7636608666
0.885 0.7898859535
0.895 0.8145069844
0.905 0.8373599916
0.915 0.8583178794
0.925 0.8772840033
0.935 0.8941785517
0.945 0.9089126283
0.955 0.921320055
0.965 0.931066214
0.975 0.9370511654
0.985 0.93800462
0.995 0.9222939966
1.005 -1.077706003
