X Density
0.005 3
0.015 3
0.025 2.999999999
0.035 2.999999999
0.045 2.999999998
0.055 2.999999997
0.065 2.999999996
0.075 2.999999993
0.085 2.999999989
0.095 2.999999982
0.105 2.999999972
0.115 2.999999957
0.125 2.999999933
0.135 2.999999898
0.145 2.999999845
0.155 2.999999766
0.165 2.999999649
0.175 2.999999477
0.185 2.999999226
0.195 2.99999886
0.205 2.99999833
0.215 2.99999757
0.225 2.999996483
0.235 2.999994938
0.245 2.999992756
0.255 2.99998969
0.265 2.999985406
0.275 2.999979455
0.285 2.999971234
0.295 2.999959938
0.305 2.999944503
0.315 2.999923532
0.325 2.999895192
0.335 2.999857107
0.345 2.999806204
0.355 2.999738544
0.365 2.999649103
0.375 2.999531515
0.385 2.999377769
0.395 2.999177845
0.405 2.998919297
0.415 2.998586764
0.425 2.998161416
0.435 2.99762033
0.445 2.996935784
0.455 2.996074494
0.465 2.994996777
0.475 2.993655663
0.485 2.991995956
0.495 2.989953289
0.505 2.987453162
0.515 2.984410024
0.525 2.980726416
0.535 2.976292231
0.545 2.970984126
0.555 2.964665144
0.565 2.957184607
0.575 2.948378317
0.585 2.938069142
0.595 2.92606803
0.605 2.912175484
0.615 2.896183557
0.625 2.877878371
0.635 2.857043182
0.645 2.833461961
0.655 2.806923487
0.665 2.777225872
0.675 2.744181451
0.685 2.707621945
0.695 2.667403762
0.705 2.623413292
0.715 2.575572061
0.725 2.52384155
0.735 2.468227522
0.745 2.408783688
0.755 2.345614545
0.765 2.278877242
0.775 2.208782365
0.785 2.135593536
0.795 2.059625791
0.805 1.981242701
0.815 1.900852285
0.825 1.818901776
0.835 1.735871333
0.845 1.652266857
0.855 1.56861203
0.865 1.485439693
0.875 1.403282552
0.885 1.322662883
0.895 1.244080194
0.905 1.167994106
0.915 1.094795761
0.925 1.024753139
0.935 0.9578924315
0.945 0.8937553092
0.955 0.8307688109
0.965 0.7653465347
0.975 0.6873021565
0.985 0.5838532616
0.995 0.3745189394
1.005 -1.625481061
