X Density
0.005 2.999999999
0.015 2.999999998
0.025 2.999999997
0.035 2.999999995
0.045 2.999999992
0.055 2.999999988
0.065 2.99999998
0.075 2.999999969
0.085 2.99999995
0.095 2.999999922
0.105 2.999999879
0.115 2.999999813
0.125 2.999999713
0.135 2.999999563
0.145 2.99999934
0.155 2.99999901
0.165 2.999998524
0.175 2.999997814
0.185 2.999996784
0.195 2.999995297
0.205 2.999993166
0.215 2.999990129
0.225 2.999985829
0.235 2.999979777
0.245 2.999971311
0.255 2.999959538
0.265 2.999943267
0.275 2.999920911
0.285 2.99989038
0.295 2.99984893
0.305 2.99979299
0.315 2.999717942
0.325 2.999617854
0.335 2.999485159
0.345 2.999310269
0.355 2.999081128
0.365 2.998782676
0.375 2.998396236
0.385 2.997898817
0.395 2.997262323
0.405 2.996452672
0.415 2.995428835
0.425 2.994141797
0.435 2.99253346
0.445 2.990535506
0.455 2.988068253
0.465 2.985039533
0.475 2.981343652
0.485 2.976860461
0.495 2.971454623
0.505 2.964975117
0.515 2.95725507
0.525 2.948111981
0.535 2.937348393
0.545 2.924753112
0.555 2.910102996
0.565 2.893165386
0.575 2.873701191
0.585 2.85146864
0.595 2.826227689
0.605 2.797745021
0.615 2.765799579
0.625 2.730188519
0.635 2.690733438
0.645 2.647286723
0.655 2.599737824
0.665 2.548019241
0.675 2.492112011
0.685 2.432050481
0.695 2.367926132
0.705 2.299890289
0.715 2.228155523
0.725 2.15299564
0.735 2.074744155
0.745 1.993791232
0.755 1.910579108
0.765 1.825596094
0.775 1.739369275
0.785 1.652456115
0.795 1.565435197
0.805 1.478896349
0.815 1.393430483
0.825 1.309619401
0.835 1.228025897
0.845 1.149184399
0.855 1.073592375
0.865 1.00170262
0.875 0.9339163658
0.885 0.8705767822
0.895 0.8119616027
0.905 0.7582717493
0.915 0.7096082102
0.925 0.6659199455
0.935 0.6268757495
0.945 0.5915837127
0.955 0.5577928837
0.965 0.5207319332
0.975 0.4664989283
0.985 0.3776767698
0.995 0.1328844472
1.005 -1.867115553
