X Density
0.005 3
0.015 3
0.025 3
0.035 3
0.045 2.999999999
0.055 2.999999999
0.065 2.999999998
0.075 2.999999997
0.085 2.999999995
0.095 2.999999991
0.105 2.999999987
0.115 2.999999979
0.125 2.999999968
0.135 2.999999951
0.145 2.999999925
0.155 2.999999886
0.165 2.999999829
0.175 2.999999745
0.185 2.999999621
0.195 2.999999439
0.205 2.999999177
0.215 2.999998797
0.225 2.999998253
0.235 2.999997476
0.245 2.999996374
0.255 2.999994818
0.265 2.999992634
0.275 2.999989584
0.285 2.999985348
0.295 2.999979497
0.305 2.999971459
0.315 2.999960474
0.325 2.999945543
0.335 2.999925353
0.345 2.9998982
0.355 2.999861875
0.365 2.999813535
0.375 2.999749548
0.385 2.999665295
0.395 2.999554946
0.405 2.99941118
0.415 2.999224866
0.425 2.998984689
0.435 2.998676712
0.445 2.998283886
0.455 2.997785485
0.465 2.997156485
0.475 2.99636687
0.485 2.995380888
0.495 2.994156241
0.505 2.992643246
0.515 2.99078396
0.525 2.988511297
0.535 2.985748174
0.545 2.982406692
0.555 2.978387409
0.565 2.973578738
0.575 2.967856504
0.585 2.961083732
0.595 2.953110685
0.605 2.943775232
0.615 2.932903567
0.625 2.920311342
0.635 2.905805241
0.645 2.88918502
0.655 2.87024604
0.665 2.848782279
0.675 2.824589815
0.685 2.79747074
0.695 2.767237454
0.705 2.733717259
0.715 2.696757155
0.725 2.656228733
0.735 2.612033025
0.745 2.564105169
0.755 2.512418751
0.765 2.456989654
0.775 2.397879273
0.785 2.335196961
0.795 2.269101571
0.805 2.199801999
0.815 2.127556649
0.825 2.052671776
0.835 1.975498686
0.845 1.896429825
0.855 1.815893747
0.865 1.73434901
0.875 1.652276891
0.885 1.570172613
0.895 1.488534156
0.905 1.407846428
0.915 1.328555519
0.925 1.251021889
0.935 1.175425544
0.945 1.101581414
0.955 1.028502586
0.965 0.9537916061
0.975 0.8709702655
0.985 0.7719213992
0.995 0.6132164088
1.005 -1.386783591
