X Density
0.005 2.999999514
0.015 2.999999144
0.025 2.999998558
0.035 2.999997614
0.045 2.999996115
0.055 2.999993761
0.065 2.99999011
0.075 2.999984507
0.085 2.999976003
0.095 2.999963227
0.105 2.999944225
0.115 2.999916237
0.125 2.999875408
0.135 2.999816401
0.145 2.999731908
0.155 2.999612022
0.165 2.999443447
0.175 2.999208521
0.185 2.998884025
0.195 2.998439752
0.205 2.997836812
0.215 2.997025673
0.225 2.995943926
0.235 2.994513801
0.245 2.992639468
0.255 2.990204192
0.265 2.987067436
0.275 2.983062041
0.285 2.97799165
0.295 2.971628571
0.305 2.963712308
0.315 2.953949012
0.325 2.942012108
0.335 2.92754437
0.345 2.910161652
0.355 2.889458499
0.365 2.86501573
0.375 2.836410046
0.385 2.803225582
0.395 2.76506719
0.405 2.721575128
0.415 2.672440661
0.425 2.617421985
0.435 2.556359763
0.445 2.489191478
0.455 2.415963809
0.465 2.336842229
0.475 2.252117099
0.485 2.162205685
0.495 2.06764968
0.505 1.969108039
0.515 1.867345212
0.525 1.763215068
0.535 1.657641122
0.545 1.551593847
0.555 1.446066062
0.565 1.342047517
0.575 1.240499816
0.585 1.142332824
0.595 1.048383584
0.605 0.9593986156
0.615 0.8760202385
0.625 0.7987773114
0.635 0.7280805061
0.645 0.6642219628
0.655 0.6073789359
0.665 0.5576208349
0.675 0.5149189212
0.685 0.4791578391
0.695 0.4501481409
0.705 0.4276390111
0.715 0.4113304926
0.725 0.400884656
0.735 0.3959353203
0.745 0.3960961105
0.755 0.4009668078
0.765 0.4101381053
0.775 0.4231950048
0.785 0.4397191768
0.795 0.4592906551
0.805 0.4814892374
0.815 0.5058959352
0.825 0.5320947473
0.835 0.5596749462
0.845 0.5882339655
0.855 0.6173808688
0.865 0.6467402849
0.875 0.6759565957
0.885 0.7046980824
0.895 0.7326606316
0.905 0.7595704364
0.915 0.7851847166
0.925 0.809288604
0.935 0.8316829995
0.945 0.8521552048
0.955 0.8703838152
0.965 0.8858030804
0.975 0.8966430411
0.985 0.9008102502
0.995 0.8792897678
1.005 -1.120710232
