X Density
0.005 1.246019432
0.015 0.7010966197
0.025 0.3782895911
0.035 0.2457206246
0.045 0.2077159334
0.055 0.2005396047
0.065 0.199888292
0.075 0.1999602518
0.085 0.1999950633
0.095 0.2000000476
0.105 0.2000001125
0.115 0.2000000157
0.125 0.2000000001
0.135 0.1999999997
0.145 0.2
0.155 0.2
0.165 0.2
0.175 0.2000000003
0.185 0.2000000024
0.195 0.2000000155
0.205 0.200000103
0.215 0.2000006091
0.225 0.2000037033
0.235 0.2000194788
0.245 0.2001063762
0.255 0.2004830981
0.265 0.2023013564
0.275 0.2086153131
0.285 0.2339426553
0.295 0.2967143545
0.305 0.4787273221
0.315 0.7185016408
0.325 0.892801874
0.335 0.9721426371
0.345 0.995632653
0.355 0.9998601271
0.365 1.000115428
0.375 1.000029154
0.385 1.000002487
0.395 0.9999997184
0.405 0.9999999001
0.415 0.9999999913
0.425 1.000000001
0.435 1
0.445 1
0.455 1
0.465 1
0.475 1
0.485 1
0.495 1
0.505 1
0.515 1
0.525 1
0.535 1
0.545 1
0.555 1
0.565 1
0.575 0.9999999997
0.585 0.9999999976
0.595 0.9999999845
0.605 0.999999897
0.615 0.9999993909
0.625 0.9999962967
0.635 0.9999805212
0.645 0.9998936238
0.655 0.9995169019
0.665 0.9976986436
0.675 0.9913846869
0.685 0.9660573447
0.695 0.9032856455
0.705 0.7212726779
0.715 0.4814983592
0.725 0.307198126
0.735 0.2278573629
0.745 0.204367347
0.755 0.2001398729
0.765 0.1998845718
0.775 0.1999708464
0.785 0.1999975129
0.795 0.2000002816
0.805 0.2000000999
0.815 0.2000000087
0.825 0.1999999993
0.835 0.1999999998
0.845 0.2
0.855 0.2
0.865 0.2
0.875 0.1999999998
0.885 0.1999999986
0.895 0.1999999896
0.905 0.1999999327
0.915 0.1999995358
0.925 0.1999972964
0.935 0.1999825996
0.945 0.199911099
0.955 0.1994666543
0.965 0.1977177315
0.975 0.1870718451
0.985 0.1579670661
0.995 -0.04109010624
1.005 -2.041090106
