X Density
0.005 2.999999623
0.015 2.999999336
0.025 2.99999888
0.035 2.999998147
0.045 2.99999698
0.055 2.999995147
0.065 2.9999923
0.075 2.999987925
0.085 2.999981275
0.095 2.999971268
0.105 2.99995636
0.115 2.999934361
0.125 2.999902204
0.135 2.999855631
0.145 2.999788792
0.155 2.999693726
0.165 2.999559708
0.175 2.999372436
0.185 2.999113027
0.195 2.998756801
0.205 2.998271833
0.215 2.997617253
0.225 2.996741286
0.235 2.995579044
0.245 2.994050081
0.255 2.992055766
0.265 2.989476539
0.275 2.986169143
0.285 2.981963975
0.295 2.976662705
0.305 2.970036363
0.315 2.961824121
0.325 2.951732993
0.335 2.939438714
0.345 2.924588027
0.355 2.906802599
0.365 2.885684728
0.375 2.860824949
0.385 2.831811543
0.395 2.798241873
0.405 2.759735314
0.415 2.715947464
0.425 2.666585141
0.435 2.611421612
0.445 2.550311359
0.455 2.483203653
0.465 2.41015416
0.475 2.331333862
0.485 2.247034597
0.495 2.157670705
0.505 2.063776391
0.515 1.965998658
0.525 1.865085869
0.535 1.761872262
0.545 1.657258973
0.555 1.552192313
0.565 1.447640243
0.575 1.344568074
0.585 1.243914486
0.595 1.146568922
0.605 1.053351334
0.615 0.9649950915
0.625 0.8821336638
0.635 0.8052914616
0.645 0.7348789514
0.655 0.6711919215
0.665 0.614414547
0.675 0.5646257136
0.685 0.5218079192
0.695 0.4858579971
0.705 0.4565988768
0.715 0.4337916398
0.725 0.4171472125
0.735 0.4063371617
0.745 0.4010032116
0.755 0.4007652618
0.765 0.4052278458
0.775 0.4139851128
0.785 0.4266245326
0.795 0.4427296075
0.805 0.461881921
0.815 0.483662861
0.825 0.5076553283
0.835 0.5334456855
0.845 0.5606261206
0.855 0.5887975096
0.865 0.6175727621
0.875 0.6465805343
0.885 0.6754690888
0.895 0.703909952
0.905 0.7316008053
0.915 0.7582665381
0.925 0.7836563329
0.935 0.8075306664
0.945 0.8296284465
0.955 0.8495567294
0.965 0.8666314151
0.975 0.8787438321
0.985 0.8833819099
0.995 0.8580789403
1.005 -1.14192106
