X Density
0.005 2.999950284
0.015 2.99991311
0.025 2.999855154
0.035 2.999763819
0.045 2.999622118
0.055 2.999405774
0.065 2.999080509
0.075 2.998598673
0.085 2.997895083
0.095 2.996881994
0.105 2.995443203
0.115 2.993427337
0.125 2.990640514
0.135 2.986838665
0.145 2.981719973
0.155 2.974918046
0.165 2.965996596
0.175 2.954446548
0.185 2.93968658
0.195 2.921068111
0.205 2.897885672
0.215 2.869393397
0.225 2.834827998
0.235 2.793438151
0.245 2.744519619
0.255 2.687454802
0.265 2.621754749
0.275 2.547101065
0.285 2.463384739
0.295 2.370738662
0.305 2.269560713
0.315 2.160524643
0.325 2.04457673
0.335 1.922917143
0.345 1.796966151
0.355 1.668316569
0.365 1.538675086
0.375 1.40979611
0.385 1.283412541
0.395 1.161168163
0.405 1.044556281
0.415 0.9348686491
0.425 0.8331578236
0.435 0.7402148883
0.445 0.6565631646
0.455 0.5824671866
0.465 0.5179550415
0.475 0.462851233
0.485 0.416816616
0.495 0.3793917017
0.505 0.3500397236
0.515 0.3281862667
0.525 0.3132528944
0.535 0.3046830045
0.545 0.3019589947
0.555 0.30461066
0.565 0.3122154936
0.575 0.3243921828
0.585 0.3407890379
0.595 0.3610693569
0.605 0.3848958052
0.615 0.4119157868
0.625 0.4417495298
0.635 0.4739822224
0.645 0.5081610605
0.655 0.543797546
0.665 0.5803748441
0.675 0.6173595255
0.685 0.6542166118
0.695 0.6904265632
0.705 0.7255027014
0.715 0.7590075673
0.725 0.7905668626
0.735 0.8198798943
0.745 0.8467257946
0.755 0.8709651889
0.765 0.8925373827
0.775 0.9114534905
0.785 0.9277862165
0.795 0.9416571771
0.805 0.9532227411
0.815 0.9626593519
0.825 0.9701492017
0.835 0.9758669801
0.845 0.9799682384
0.855 0.9825797181
0.865 0.9837917915
0.875 0.9836529437
0.885 0.9821659249
0.895 0.9792846933
0.905 0.9749102711
0.915 0.9688814985
0.925 0.9609526635
0.935 0.95073918
0.945 0.937603492
0.955 0.9203648495
0.965 0.8969087943
0.975 0.8621925651
0.985 0.8103972064
0.995 0.7062814089
1.005 -1.293718591
